year_month_day,ma_20,ma_50,rsi,macd,macd_signal,bb_high,bb_low,roc,not,red_green,close
2017-09-19,3811.9979999999996,3869.626,45.858821173501354,-148.39876362737823,-119.00047689320108,4983.369135335545,3372.3158646644565,-16.658886821368352,7342,red,3910.04
2017-09-20,3851.9979999999996,3846.589,45.66380787201889,-141.4029850350612,-123.48097852157312,4909.68002839285,3363.51597160715,-8.938077892967222,7231,red,3900.0
2017-09-21,3831.006,3786.7410000000004,40.328957018261576,-157.4452327472336,-130.27382936670523,4810.598081134748,3340.1059188652525,-15.234772154662934,8714,red,3609.99
2017-09-22,3810.182,3729.9559999999997,40.08341755181332,-169.3460794419875,-138.0882793817617,4771.403868138694,3291.673131861306,-12.940729280911881,8152,green,3595.87
2017-09-23,3759.1799999999994,3713.4869999999996,44.8029074359221,-162.05180173056124,-142.88098385152162,4708.618194410436,3281.5508055895634,-10.181134711664814,8402,green,3780.0
2017-09-24,3709.1760000000004,3760.5870000000004,42.45620417587939,-164.0612217375001,-147.11703142871733,4699.331412170749,3246.828587829252,-12.097355249632546,8724,red,3660.02
2017-09-25,3713.326,3782.6620000000003,48.73968223787526,-142.96693574022993,-146.28701229101986,4654.3926056381915,3247.195394361809,-0.6068917963135266,9740,green,3920.75
2017-09-26,3767.798,3799.4020000000005,47.90992323182332,-127.87406852595586,-142.60442353800707,4547.203549049162,3280.642450950838,21.741161861637742,7971,red,3882.35
2017-09-26,3825.094,3817.638,47.90992323182332,-114.59191821818013,-137.0019224740417,4396.657088294659,3350.262911705341,4.928378378378376,7971,red,3882.35
2017-09-27,3907.6940000000004,3833.4370000000004,55.08419706970227,-78.09858771245126,-125.2212555217236,4379.424569966817,3358.515430033182,12.86827548150043,8373,green,4193.0
2017-09-28,4010.59,3859.8830000000003,54.60189874756252,-50.092718083034015,-110.1955480339857,4363.520434381057,3365.988565618943,12.824629255754752,11426,red,4174.5
2017-09-29,4061.3779999999997,3887.3520000000003,54.60629467907574,-27.564783551917117,-93.66939513757198,4370.805293100882,3363.1357068991183,3.4617014579889362,14834,red,4174.69
2017-09-30,4160.610000000001,3964.2039999999993,59.17333658499735,6.658581491572022,-73.60379981174319,4407.04611958153,3343.8988804184705,11.981207353377465,9324,green,4378.51
2017-10-01,4259.836,4042.465,59.17239292045756,33.393484799245016,-52.20434288954554,4448.434013577125,3323.9869864228745,12.268717948717937,9816,red,4378.48
2017-10-02,4297.236,4102.465,59.207888541541415,54.08033514230283,-30.94740728317587,4509.874641746272,3306.0773582537277,21.32997598331298,8185,red,4380.0
2017-10-03,4324.336,4167.463,56.760482287364944,64.08763572284806,-11.940398681971086,4491.9086298465845,3436.1413701534157,19.85972796569398,12379,red,4310.0
2017-10-04,4331.116,4196.246999999999,53.3217504023302,63.10808334894136,3.0692977242114043,4512.995383311902,3465.9136166881003,11.338359788359792,11006,red,4208.59
2017-10-05,4313.9,4237.254999999999,55.71069602349839,68.30953851640515,16.117345882650156,4541.824929415716,3494.8320705842834,17.27886732859384,9158,green,4292.43
2017-10-06,4312.004,4285.92,57.83322742760611,77.71444454770699,28.43676561566152,4575.132597366067,3528.425402633933,11.4327615889817,6546,green,4369.0
2017-10-07,4320.604,4308.92,59.31410428791203,88.50501828108827,40.45041614874687,4618.808294451509,3523.54870554849,13.925843883215066,4804,green,4423.0
2017-10-08,4386.604,4355.469999999999,64.68190639122804,113.26110860460903,55.0125546399193,4702.729802058732,3512.623197941267,19.51524205700156,7580,green,4640.0
2017-10-09,4502.276,4416.696,67.7818106718913,143.08868810475087,72.62778133288562,4807.674990311156,3496.373009688843,14.165275459098492,10372,green,4786.95
2017-10-10,4600.402,4457.151,67.6126327943025,164.51692061221547,91.00560918875159,4871.736048144564,3549.6189518554356,14.578033297400896,11967,red,4783.06
2017-10-11,4690.888,4501.446,68.44913775328665,182.4914398632236,109.30277532364599,4920.78868486264,3623.1223151373597,15.491928742014396,5895,green,4821.43
2017-10-12,4892.288,4606.446,78.10731739793908,243.0412604745461,136.05047235382602,5137.761871593513,3571.149128406487,24.01479041957195,8030,green,5430.0
2017-10-13,5094.284,4740.444,80.43834292432265,305.25913975151343,169.8922058333635,5355.728459206004,3552.1785407939947,29.039758089565332,11663,green,5649.98
2017-10-14,5310.892000000001,4906.584000000001,82.45089417282107,368.07726009954786,209.52921668660036,5609.419937920271,3493.411062079729,34.01803652968036,6259,green,5869.99
2017-10-15,5496.278,5048.34,76.30275393822994,400.3355907414598,247.69049149757228,5767.475212375855,3518.119787624146,32.482366589327135,7452,red,5709.99
2017-10-16,5683.996,5187.442000000001,76.88321231479132,425.0379798114309,283.159989160344,5904.424402154764,3568.9375978452354,36.8634150630021,9153,green,5760.02
2017-10-17,5716.996,5304.642000000001,70.72914325487444,426.38397717609314,311.80478676349384,6003.5237077179045,3610.038292282096,30.345748212550923,9755,red,5595.0
2017-10-18,5689.412,5391.848,67.79202402249578,415.9631605566574,332.6364615221265,6071.0855246419,3676.2324753580997,26.162966353856724,14824,red,5512.06
2017-10-19,5652.194,5481.543,70.52319278735402,416.76641636129625,349.46245248996047,6151.051152257722,3747.187847742278,28.507800135654527,11553,green,5683.9
2017-10-20,5712.198,5604.238,74.8771020452984,438.6607459363113,367.3021111792307,6286.879384680186,3774.509615319813,29.5260775862069,11656,green,6010.01
2017-10-21,5765.188,5724.592,75.05909862983692,452.0088304074916,384.2434550248829,6402.798506146679,3823.239493853321,25.86239672442788,10182,green,6024.97
2017-10-22,5836.192000000001,5776.594,72.23571303498946,451.336716185112,397.6621072569287,6484.397531091004,3898.642468908997,24.39777046493249,8846,red,5950.02
2017-10-23,5916.966,5803.189,70.92885076304046,442.9472624076334,406.71913828706965,6534.860705992398,4008.772294007602,22.700734014597327,10736,red,5915.93
2017-10-24,5875.592,5763.893,56.70486156315417,396.3145306741935,404.6382167644945,6502.081961656688,4168.395038343311,0.8661141804788167,13075,red,5477.03
2017-10-25,5811.588000000001,5761.893,60.81139561738109,372.2507718440156,398.1607277803987,6477.343964809106,4332.889035190894,0.7081440996251354,12026,green,5689.99
2017-10-26,5778.947999999999,5772.068,63.794510401052555,362.8584733663092,391.10027689758084,6456.682385766189,4502.827614233811,-0.14003431010954612,11429,green,5861.77
2017-10-27,5742.71,5789.450999999999,61.0851871206919,343.9506785662106,381.6703572313068,6401.236864199316,4692.856135800685,1.0304746593251504,8305,red,5768.83
2017-10-28,5703.451999999999,5810.209000000001,59.64146159288216,321.29322476480957,369.59493073800735,6348.956294383228,4853.100705616773,-0.7010392325026668,8556,red,5719.64
2017-10-29,5842.0419999999995,5858.817,67.26860093251801,335.8047555498679,362.8368957003795,6357.540652670749,4982.819347329251,10.27667560321715,10651,green,6169.98
2017-10-30,5928.144,5869.866,65.79727791722993,339.40023117292003,358.14956279488763,6318.20469155701,5155.899308442989,11.03834138235069,9027,red,6120.5
2017-10-31,6048.389999999999,5913.669,70.59212579771939,365.6713276733408,359.65391577057824,6317.646598655756,5320.6144013442445,13.70713770474499,12503,green,6463.0
2017-11-01,6245.42,5994.0650000000005,73.9352667919959,405.29898074149514,368.7829287647616,6498.1045635746805,5272.554436425319,12.37884795532785,16775,green,6753.98
